Lon,Lat,Mask,Conf,brt_t13(K),frp(MW),line,sample,Sat,YearDay,Hour
150.478073,-24.943333,9,88,332.945557,27.600336,471,596,NDE,2018312,0416
151.105759,-24.356209,8,49,328.641876,26.050993,536,486,NDE,2018312,0416
151.102356,-24.345690,8,53,322.198761,19.357220,537,486,NDE,2018312,0416
150.990051,-24.326206,8,31,305.390198,5.780878,541,499,NDE,2018312,0416
150.988785,-24.330004,8,55,306.474030,6.056455,547,498,NDE,2018312,0416
150.313416,-24.413507,8,36,313.322662,6.007931,553,594,NDE,2018312,0416
149.115662,-24.593143,8,68,314.183624,12.573486,566,714,NDE,2018312,0416
147.966110,-24.720739,8,44,314.290161,7.311153,582,823,NDE,2018312,0416
147.993698,-24.705965,8,64,319.838562,11.344495,583,820,NDE,2018312,0416
147.986298,-24.679792,9,96,352.630981,67.118507,586,820,NDE,2018312,0416
147.982803,-24.662046,8,74,321.079926,15.328876,588,820,NDE,2018312,0416
150.800049,-23.936373,8,47,310.286560,7.427889,611,505,NDE,2018312,0416
150.847763,-23.892229,8,77,322.330322,16.871239,614,498,NDE,2018312,0416
150.840942,-23.893742,8,73,318.447876,12.921678,614,499,NDE,2018312,0416
149.162064,-24.157812,8,70,323.436523,26.757294,629,698,NDE,2018312,0416
150.482437,-23.852898,8,41,322.518982,14.097482,631,544,NDE,2018312,0416
150.475677,-23.854389,8,73,328.956573,20.696829,631,545,NDE,2018312,0416
150.486618,-23.840986,8,41,322.429596,14.383951,632,543,NDE,2018312,0416
150.479706,-23.842524,9,80,334.242279,27.078619,632,544,NDE,2018312,0416
150.474762,-23.821646,9,90,339.778351,35.927902,634,544,NDE,2018312,0416
150.468307,-23.823082,8,60,328.189819,19.634556,634,545,NDE,2018312,0416
148.252869,-24.018980,9,82,328.940979,24.571115,677,774,NDE,2018312,0416
150.201935,-23.108976,8,72,318.576660,10.926210,747,549,NDE,2018312,0416
150.435837,-23.045900,8,75,329.478363,20.099728,748,515,NDE,2018312,0416
150.435181,-23.048231,8,53,328.887939,19.555517,754,514,NDE,2018312,0416
150.398926,-23.022778,8,34,313.482147,8.818825,757,518,NDE,2018312,0416
150.072815,-22.756638,8,50,311.747742,5.238671,38,550,NDE,2018312,0417
150.065933,-22.758125,8,49,311.674133,5.172155,38,551,NDE,2018312,0417
150.070297,-22.746254,8,30,311.175781,4.628430,39,550,NDE,2018312,0417
150.080780,-22.700146,7,21,310.357056,4.267385,43,547,NDE,2018312,0417
149.405258,-22.703039,7,26,312.827209,8.703681,68,641,NDE,2018312,0417
149.390594,-22.695631,8,71,320.336670,19.625933,69,642,NDE,2018312,0417
149.316116,-21.767715,9,87,339.567322,30.903116,204,612,NDE,2018312,0417
149.327133,-21.754707,8,40,313.609955,5.577399,205,610,NDE,2018312,0417
149.313889,-21.765495,8,60,341.762543,34.248478,210,611,NDE,2018312,0417
149.219040,-21.711252,8,73,321.184479,13.543948,217,623,NDE,2018312,0417
149.211792,-21.712791,9,86,334.874329,27.842739,217,624,NDE,2018312,0417
127.559723,-24.430960,8,57,324.752106,30.631512,253,3047,NDE,2018312,0417
127.563675,-24.433165,8,78,327.579102,34.757484,261,3046,NDE,2018312,0417
127.116142,-23.826653,8,52,326.697662,28.457434,358,3075,NDE,2018312,0417
